Lipton Tea, Bags	100 bags [8 oz (226 g)]		http://www.publix.com/images/products/5000/009161-600x600-A.jpg		Orange Pekoe And Pekoe Cut Black Tea.
Lipton Iced Tea, Family Size Tea Bags	24 tea bags [6 oz (170 g)]	Specially blended for iced tea. 100% natural. Rainforest Alliance Certified. 0 calories per 1/4 tea bag. Less packaging. Same amount of tea. This product contains 45 mg of caffeine per 8 fl oz serving. To learn more about tea's role in a healthy lifestyle call 1-800-LiptonT (1-888-547-8668) or visit www.lipton.com. Real tea leaves specially blended for iced tea. It all started with one bright idea, from Sir Thomas Lipton. Our founder was a man on a mission - to share his passion for tea around the world. He believed that everyone deserved high-quality, great-tasting tea. And over 125 years later, that belief is still what drives us - inspiring more flavors, more varieties, and more love than ever for everything tea. Quality and taste since 1890. Your tea, their brighter future. We work with Rainforest Alliance to help create a sustainable future for our farmers, their families, and their environment. A brilliant taste for a brighter day - Our master blenders have created this delicious blend from carefully selected tea leaves, capturing as much natural tea taste and aroma as possible. Simply brew with boiling water, sweeten and add the ice cubes. Then, take a sip and let great-tasting Lipton tea brighten your day.Show Lesshe world. He believed that everyone deserved high-quality, great-tasting tea. And over 125 years later, that belief is still what drives us - inspiring more flavors, more varieties, and more love than ever for everything tea. Quality and taste since 1890. Your tea, their brighter future. We work with Rainforest Alliance to help create a sustainable future for our farmers, their families, and their environment. A brilliant taste for a brighter day - Our master blenders have created this delicious blend from carefully selected tea leaves, capturing as much natural tea taste and aroma as possible. Simply brew with boiling water, sweeten and add the ice cubes. Then, take a sip and let great-tasting Lipton tea brighten your day.	http://www.publix.com/images/products/5000/009165-600x600-A.jpg		Orange Pekoe And Pekoe Cut Black Tea.
Lipton Tea, Bags	20 tea bags [1.5 oz (42.5 g)]	100% natural. America's favorite tea. Serve hot or iced. 0 calories per tea bag. Bright new look. Same great taste. Stay fresh pack for a great taste & aroma. With freshly pressed leaves. To learn more about tea's role in a healthy lifestyle call 1-888-LiptonT (1-888-547-8668) or visit www.lipton.com. Caffeine - 55 mg per 8 fl oz serving. Theanine - 10 mg per 8 fl oz serving. Find our recipes on yummly.com/Lipton. Our master blenders have crafted this delicious blend that includes carefully selected and fresh-pressed tea leaves, capturing as much natural tea taste and aroma as possible. It's the Lipton difference - so take a sip and let our tea brighten your day. Quality and taste since 1890. It all started with one bright idea, from Sir Thomas Lipton. Our founder was a man on a mission - to share his passion for tea around the world. He believed that everyone deserved high-quality, great-tasting tea. And over 120 years later, that belief is still what drives us - inspiring more flavors, more varieties, and more love than ever for everything tea.Show Lessselected and fresh-pressed tea leaves, capturing as much natural tea taste and aroma as possible. It's the Lipton difference - so take a sip and let our tea brighten your day. Quality and taste since 1890. It all started with one bright idea, from Sir Thomas Lipton. Our founder was a man on a mission - to share his passion for tea around the world. He believed that everyone deserved high-quality, great-tasting tea. And over 120 years later, that belief is still what drives us - inspiring more flavors, more varieties, and more love than ever for everything tea.	http://www.publix.com/images/products/5000/009149-600x600-A.jpg		Orange Pekoe And Pekoe Cut Black Tea.
American Classic, Tea	48 ct Box		http://www.publix.com/images/static/NoImage/No-image-product_328x328.jpg
Luzianne Iced Tea, Family Size Tea Bags	24 bags [6 oz (170 g)]	Family owned since 1902. Specially blended for iced tea. Did You Know: 1 box brews 6 gallons; 1 box equals 48 16 oz bottles of iced tea. Authentic Southern iced tea - it's so simple, yet so satisfying. It leaves you reinvigorated and refreshed. At Luzianne, we know refreshment is something on which you should never compromise. It's why we carefully select tea leaves from across the globe and specially blend them for iced tea. Since 1902, our family company has been taking the extra steps so you can enjoy the clear, smooth, refreshing taste of Luzianne from one pitcher to the next. And once you've taken a sip of Luzianne, we believe you won't settle for anything less. 100% natural antioxidants. Your satisfaction guaranteed. luzianne.com. Please include best by date when contacting us. This product contains 33 mg of caffeine per 8 fl oz serving.Show Lesscan enjoy the clear, smooth, refreshing taste of Luzianne from one pitcher to the next. And once you've taken a sip of Luzianne, we believe you won't settle for anything less. 100% natural antioxidants. Your satisfaction guaranteed. luzianne.com. Please include best by date when contacting us. This product contains 33 mg of caffeine per 8 fl oz serving.	http://www.publix.com/images/products/5000/009167-600x600-A.jpg	Nutrition Facts Serving Size 1 tea bag (7g) Servings Per Container 96 Amount Per Serving Calories from Fat 0 Calories 0 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0% Sodium 0mg 0% Total Carbohydrates 0g 0% Dietary Fiber Sugars 0g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Orange Pekoe & Pekoe Cut Black Teas.
Red Diamond Orange Pekoe & Pekoe Tea, Family Size Quart Bags	24 tea bags [6 oz (170.1 g)]	All natural. The south's finest since 1906. 155 mg natural antioxidants per serving. Heart healthy. Also available fresh brewed in the dairy case. Over 100 years of the south's finest teas. 155 milligrams of natural antioxidants in every healthy glass of tea. Total Antioxidants Per Single 8 oz Serving (Red Diamond antioxidant values derived from independent laboratory testing. Competitive antioxidant values were taken from quantitative statements provided on competitive packaging or from independent laboratory testing.): Red Diamond: 155 mg flavanoids; Other Leading Brands: 130 mg flavanoids, 105 mg flavanoids, 97 mg flavanoids. Antioxidants occur naturally in many plants, fruits, and vegetables. Flavanoids, the antioxidants found in tea, work to help your body neutralize free radical molecules that may damage cells. In general, higher quality tea provide a higher level of antioxidants. For over 100 years, Red Diamond has produced some of the world's finest teas. Please enjoy this selection of all natural teas handpicked from the finest estates especially for Red Diamond. Guarantee: We guarantee our tea will meet your satisfaction or we will refund the purchase price if proof of purchase returned to: Red Diamond, Inc., PO Box 2168, Birmingham, AL 35201. 800-292-4651. www.RedDiamond.com. Tea Council of the USA, Inc. Tea Association of the USA, Inc.Show Lessdent laboratory testing.): Red Diamond: 155 mg flavanoids; Other Leading Brands: 130 mg flavanoids, 105 mg flavanoids, 97 mg flavanoids. Antioxidants occur naturally in many plants, fruits, and vegetables. Flavanoids, the antioxidants found in tea, work to help your body neutralize free radical molecules that may damage cells. In general, higher quality tea provide a higher level of antioxidants. For over 100 years, Red Diamond has produced some of the world's finest teas. Please enjoy this selection of all natural teas handpicked from the finest estates especially for Red Diamond. Guarantee: We guarantee our tea will meet your satisfaction or we will refund the purchase price if proof of purchase returned to: Red Diamond, Inc., PO Box 2168, Birmingham, AL 35201. 800-292-4651. www.RedDiamond.com. Tea Council of the USA, Inc. Tea Association of the USA, Inc.	http://www.publix.com/images/products/5000/009555-600x600-A.jpg	Nutrition Facts Serving Size 8 fl oz (240ml) Servings Per Container 96 Amount Per Serving Calories from Fat 0 Calories 0 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0% Sodium 0mg 0% Total Carbohydrates 0g 0% Dietary Fiber Sugars 0g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g
JCS Tea, Instant, Caffeine Free, Ginger, Packets	11 - 18 g packets	Reggae Country Style. No artificial flavoring. 10% bonus. 10 packets + 1. JCS Reggae Country Style Instant Ginger Tea uses only the finest quality ginger root. For centuries, ginger has been used as a natural remedy to aid in digestion and increase energy. Www.jcskitchen.com. The best way to make a good tasting cup of instant ginger tea is to boil a cup of water and pour in a packet of JCS Instant Ginger Tea. It can be served hot or cold and is an easy, convenient drink that can be made at the office or at home. If you are a fan of ginger or want to enjoy ginger's digestive soothing properties, you will love this tea. It's distinct flavor and aroma will captivate your senses and kick start your day. Enjoy the delicious and refreshing taste of JCS Instant Ginger Tea! Product of Thailand.Show Lessffice or at home. If you are a fan of ginger or want to enjoy ginger's digestive soothing properties, you will love this tea. It's distinct flavor and aroma will captivate your senses and kick start your day. Enjoy the delicious and refreshing taste of JCS Instant Ginger Tea! Product of Thailand.	http://www.publix.com/images/products/905000/906747-600x600-A.jpg	Nutrition Facts Serving Size 1 sachet (18g) Servings Per Container 11 Amount Per Serving Calories from Fat 0 Calories 70 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0mg 0% Sodium 0mg 6% Total Carbohydrates 18g 0% Dietary Fiber 0g Sugars 14g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Ginger Extract Powder (Includes Fresh Ginger Extract, Maltodextrin And Cane Sugar).
Celestial Seasonings Tea, Sleepytime Extra, Caffeine Free, Bags	20 bags [1.2 oz (35 g)]	Herbal supplement. Wellness Tea. Promotes relaxation. With calming valerian. Fresh New Look: Same great tea! Non GMO Project verified. nongmoproject.org. Happiness lies first of all in health. - George William Curtis. The Original Bedtime Tea: More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. We named it Sleepytime tea, and it quickly became everyone's favorite bedtime tea. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine. Blended with care from seed to sip. Responsible sourcing. We purchase most of our ingredients directly from the farming communities that grow them. Quality ingredients. We blend our teas from the finest ingredients, with no artificial flavors, colors or preservatives. Sustainable packaging. We use tea bags without strings, tags or staples, keeping tons of material out of landfills every year. Learn more at celestialseasonings.com/csr. Printed on 100% recycled paper (min. 35% post-consumer). Non-GMO project verified. Naturally caffeine free. Gluten free. Tell us what you think: 1-800-351-8175. celestialseasonings.com. This relaxing herbal tea starts with our time-honored Sleepytime blend of chamomile, spearmint and other soothing herbs. We then add valerian, long trusted as a natural sleep aid, for an especially calming cup. - Charlie Baden, Blendmaster. (These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.)Show Lessaf green and wellness teas, so you can always find the perfect cup for your bedtime routine. Blended with care from seed to sip. Responsible sourcing. We purchase most of our ingredients directly from the farming communities that grow them. Quality ingredients. We blend our teas from the finest ingredients, with no artificial flavors, colors or preservatives. Sustainable packaging. We use tea bags without strings, tags or staples, keeping tons of material out of landfills every year. Learn more at celestialseasonings.com/csr. Printed on 100% recycled paper (min. 35% post-consumer). Non-GMO project verified. Naturally caffeine free. Gluten free. Tell us what you think: 1-800-351-8175. celestialseasonings.com. This relaxing herbal tea starts with our time-honored Sleepytime blend of chamomile, spearmint and other soothing herbs. We then add valerian, long trusted as a natural sleep aid, for an especially calming cup. - Charlie Baden, Blendmaster. (These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.)	http://www.publix.com/images/products/715000/716195-600x600-A.jpg	Nutrition Facts Serving Size 1 Package(s) (1g) Servings Per Container 20 Amount Per Serving Calories from Fat 0 Calories 0 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0mg 0% Sodium 0mg 0% Total Carbohydrates 0g 0% Dietary Fiber 0g Sugars 0g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Other Ingredients: Spearmint, Lemongrass, Hawthorn And Orange Blossoms.	Recommended For Adults Only. If You Are Taking Prescription Medication, Or Are Pregnant Or Nursing, Consult Your Health Care Provider Prior To Using This Product. Persons With Allergies To The Daisy Family May Be Sensitive To Chamomile. Do Not Drive Or Operate Machinery After Consuming This Product.
Celestial Seasonings Sleepytime Herbal Tea, Caffeine Free, Bags	20 tea bags [1 oz (29 g)]	Non GMO Project verified. nongmoproject.org. Blended with Care from Seed to Sip: Responsible sourcing. We purchase most of our ingredients directly from the farming communities that grow them. Quality ingredients. We blend our teas from the finest ingredients, with no artificial flavors, colors or preservatives. Sustainable packaging. We use tea bags without strings, tags or staples, keeping tons of material out of landfills every year. Learn more at celestialseasonings.com/csr. Printed on 100% recycled paperboard (35% post-consumer content). We know you'll love this tea! Tell us what you think: 1-800-351-8175; www.celestialseasonings.com. Blendmaster's Notes: This most beloved of herbal teas gets its comforting aroma and perfectly balanced flavor from a blend of soothing herbs, including delicate chamomile, cool spearmint and fresh lemongrass. Wind down your day with Sleepytime tea! - Charlie Baden, Celestial Seasonings Blendmaster. Caffeine free herbal tea. Gluten free. The Original Bedtime Tea: More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. We named it Sleepytime tea, and it quickly became everyone's favorite bedtime tea. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine. There is nothing like staying at home for real comfort. - Jane Austen. Blended in Boulder, CO.Show Lessrecycled paperboard (35% post-consumer content). We know you'll love this tea! Tell us what you think: 1-800-351-8175; www.celestialseasonings.com. Blendmaster's Notes: This most beloved of herbal teas gets its comforting aroma and perfectly balanced flavor from a blend of soothing herbs, including delicate chamomile, cool spearmint and fresh lemongrass. Wind down your day with Sleepytime tea! - Charlie Baden, Celestial Seasonings Blendmaster. Caffeine free herbal tea. Gluten free. The Original Bedtime Tea: More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. We named it Sleepytime tea, and it quickly became everyone's favorite bedtime tea. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine. There is nothing like staying at home for real comfort. - Jane Austen. Blended in Boulder, CO.	http://www.publix.com/images/products/300000/303573-600x600-A.jpg	Nutrition Facts Serving Size 1 Bag(s) (1g) Servings Per Container 20 Amount Per Serving Calories from Fat 0 Calories 0 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0mg 0% Sodium 0mg 0% Total Carbohydrates 0g 0% Dietary Fiber 0g Sugars 0g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Chamomile, Spearmint, Lemongrass, Tilia Flowers, Blackberry Leaves, Orange Blossoms, Hawthorn And Rosebuds.
Lipton Green Tea, Pure, Bags	20 bags [1 oz (28.3 g)]	100% natural. Fresh light taste. 0 calories per tea bag. Now with more fruit flavor! 0 calories per tea bag. Enjoy our delicious fresh taste. Make yourself a cup of uplifting goodness. Packed with young tea leaves, our green tea's delightfully light, fresh and non-bitter taste is simply delicious. It's the refreshing way to brighten your day. Taste good. Does good. Rainforest Alliance Certified. Did you know our tea is Rainforest Alliance Certified? This means we're working with the Rainforest Alliance to improve the social, environmental and economic conditions of the people who grow and pick every leaf in your cup. Visit www.rainforest-alliance.org. To learn more about tea's role in a healthy lifestyle call 1-888-LIPTONT (1-888-547-8668) or visit www.lipton.com.Show Lesslliance to improve the social, environmental and economic conditions of the people who grow and pick every leaf in your cup. Visit www.rainforest-alliance.org. To learn more about tea's role in a healthy lifestyle call 1-888-LIPTONT (1-888-547-8668) or visit www.lipton.com.	http://www.publix.com/images/products/395000/395826-600x600-A.jpg	Nutrition Facts Serving Size 1 Bag(s) (1.5g) Servings Per Container 20 Amount Per Serving Calories from Fat 0 Calories 0 % Daily Value* 0% Total Fat 0g 0% Saturated Fat 0g Trans Fat 0g 0% Cholesterol 0mg 0% Sodium 0mg 0% Potassium 15mg 0% Total Carbohydrates 0g 0% Dietary Fiber 0g Sugars 0g Protein 0g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Green Tea.
